internal_id,aum_date,aum,contributions,active_members,deferred_members,created_at
1CNXU,2024-02-29,43582726,9070,6898,4132,2024-03-20 21:10:35.136116
9LZ03,2024-02-29,13241631,2560,6954,4496,2024-03-20 21:10:35.136116
ML3VU,2024-02-29,176997,1950,8083,317,2024-03-20 21:10:35.136116
TBRY7,2024-02-29,19348594,6980,4701,7961,2024-03-20 21:10:35.136116
IP4RS,2024-02-29,81903595,8942,6776,1900,2024-03-20 21:10:35.136116
6U0VA,2024-02-29,7332759,7699,4425,3374,2024-03-20 21:10:35.136116
KYFTE,2024-02-29,83532855,9662,263,5552,2024-03-20 21:10:35.136116
WXO97,2024-02-29,62675258,7100,8262,4363,2024-03-20 21:10:35.136116
1TIPY,2024-02-29,30512743,3314,1994,9589,2024-03-20 21:10:35.136116
TP4ZF,2024-02-29,43477587,6938,7388,6009,2024-03-20 21:10:35.136116
CZB5X,2024-02-29,92645496,2055,2400,6365,2024-03-20 21:10:35.136116
RAFCU,2024-02-29,16494713,3968,4921,8158,2024-03-20 21:10:35.136116
VIHVV,2024-02-29,475966,8623,1759,2804,2024-03-20 21:10:35.136116
OPPSF,2024-02-29,5237501,6088,7431,2963,2024-03-20 21:10:35.136116
LAVC2,2024-02-29,56601511,1661,7993,4435,2024-03-20 21:10:35.136116
BRQPQ,2024-02-29,97411451,5165,910,8722,2024-03-20 21:10:35.136116
BJVAE,2024-02-29,93595394,6359,6107,9927,2024-03-20 21:10:35.136116
XVGI1,2024-02-29,66639550,8869,5579,401,2024-03-20 21:10:35.136116
SOCCG,2024-02-29,25899297,1423,8096,5689,2024-03-20 21:10:35.136116
9IDUJ,2024-02-29,51758339,5766,2116,96,2024-03-20 21:10:35.136116
HW8NG,2024-02-29,47245457,6994,6533,1225,2024-03-20 21:10:35.136116
WLCO4,2024-02-29,69683589,2564,9756,8526,2024-03-20 21:10:35.136116
5FGCX,2024-02-29,30921646,9255,636,5531,2024-03-20 21:10:35.136116
YVK5A,2024-02-29,14059433,9457,7101,1157,2024-03-20 21:10:35.136116
5U5D7,2024-02-29,99426333,6049,186,4189,2024-03-20 21:10:35.136116
ZOVAU,2024-02-29,71732941,1046,2162,1496,2024-03-20 21:10:35.136116
KJRCF,2024-02-29,99625620,9550,1723,6971,2024-03-20 21:10:35.136116
IIQ6L,2024-02-29,62964646,4080,9226,4363,2024-03-20 21:10:35.136116
G6I8V,2024-02-29,81760027,5961,4681,8510,2024-03-20 21:10:35.136116
BQIG1,2024-02-29,24136544,7145,667,5002,2024-03-20 21:10:35.136116
HBGSO,2024-02-29,93385472,2451,1291,1641,2024-03-20 21:10:35.136116
AYCRB,2024-02-29,90803959,6981,8410,3952,2024-03-20 21:10:35.136116
SIRFG,2024-02-29,23696134,6514,7858,3068,2024-03-20 21:10:35.136116
IXZIX,2024-02-29,80722103,1885,8864,6842,2024-03-20 21:10:35.136116
66CEN,2024-02-29,78447913,6082,8212,6336,2024-03-20 21:10:35.136116
H3RZC,2024-02-29,73851929,1054,5809,653,2024-03-20 21:10:35.136116
NU0X7,2024-02-29,67871438,1040,5203,9441,2024-03-20 21:10:35.136116
SOFNA,2024-02-29,19935140,7216,3911,7579,2024-03-20 21:10:35.136116
DYCEA,2024-02-29,41860077,3193,7407,1784,2024-03-20 21:10:35.136116
FS6QB,2024-02-29,74346600,2938,1116,9622,2024-03-20 21:10:35.136116
CUA1P,2024-02-29,1266451,5705,4201,2524,2024-03-20 21:10:35.136116
3S7RG,2024-02-29,66401252,1360,2328,9527,2024-03-20 21:10:35.136116
NDWON,2024-02-29,13882403,6795,5634,4179,2024-03-20 21:10:35.136116
ZZLYB,2024-02-29,17123373,5194,2651,6443,2024-03-20 21:10:35.136116
MBQHK,2024-02-29,57209436,5232,5917,5123,2024-03-20 21:10:35.136116
1BGY0,2024-02-29,86166078,1349,295,9865,2024-03-20 21:10:35.136116
DESVO,2024-02-29,8396939,4781,2155,533,2024-03-20 21:10:35.136116
WX82Z,2024-02-29,21556630,2858,8018,2089,2024-03-20 21:10:35.136116
0MDF4,2024-02-29,76321477,1844,3075,8399,2024-03-20 21:10:35.136116
QJ8EI,2024-02-29,32030321,8396,7931,6688,2024-03-20 21:10:35.136116
5TF7X,2024-02-29,61589274,7150,244,5338,2024-03-20 21:10:35.136116
YNUL4,2024-02-29,50965397,3680,8298,8788,2024-03-20 21:10:35.136116
MMTXE,2024-02-29,3335854,2865,3832,5914,2024-03-20 21:10:35.136116
8JJ9U,2024-02-29,23259189,8250,1244,6785,2024-03-20 21:10:35.136116
FLUU0,2024-02-29,67031685,8582,5071,9106,2024-03-20 21:10:35.136116
XP0U9,2024-02-29,29912918,5331,8862,6944,2024-03-20 21:10:35.136116
KVS5P,2024-02-29,5818113,9336,1768,6413,2024-03-20 21:10:35.136116
5JSFI,2024-02-29,8720674,2065,6840,7207,2024-03-20 21:10:35.136116
EYRFC,2024-02-29,97595421,1488,6118,477,2024-03-20 21:10:35.136116
GYVS2,2024-02-29,36311299,7976,668,4472,2024-03-20 21:10:35.136116
XHMMX,2024-02-29,44456529,6773,4584,89,2024-03-20 21:10:35.136116
QOLYP,2024-02-29,30882143,6124,981,5823,2024-03-20 21:10:35.136116
THKUB,2024-02-29,99213449,2523,7707,3821,2024-03-20 21:10:35.136116
CA431,2024-02-29,67221411,1570,1143,1277,2024-03-20 21:10:35.136116
ZELSD,2024-02-29,87789711,6109,8306,6693,2024-03-20 21:10:35.136116
3OWZD,2024-02-29,69989163,5839,1494,8604,2024-03-20 21:10:35.136116
TLAKW,2024-02-29,56598545,2775,8339,7822,2024-03-20 21:10:35.136116
OOPKG,2024-02-29,50815416,3022,9110,836,2024-03-20 21:10:35.136116
IWLSF,2024-02-29,52883048,4328,9756,7029,2024-03-20 21:10:35.136116
J7AM5,2024-02-29,91037885,9311,4882,3001,2024-03-20 21:10:35.136116
HAAA2,2024-02-29,1300215,9406,3123,613,2024-03-20 21:10:35.136116
RDCDP,2024-02-29,63894874,3919,5162,466,2024-03-20 21:10:35.136116
AZH2W,2024-02-29,8020674,1541,5054,8246,2024-03-20 21:10:35.136116
5P1BN,2024-02-29,54269602,6638,6322,1390,2024-03-20 21:10:35.136116
SNKOM,2024-02-29,87337002,9921,3769,1157,2024-03-20 21:10:35.136116
VIRDB,2024-02-29,12404018,4408,6294,3546,2024-03-20 21:10:35.136116
0WJWT,2024-02-29,41301246,1798,9820,9339,2024-03-20 21:10:35.136116
N0PPG,2024-02-29,87235068,2394,3695,9722,2024-03-20 21:10:35.136116
ADTOL,2024-02-29,48517531,8100,1324,80,2024-03-20 21:10:35.136116
PSFYP,2024-02-29,80181851,7414,7466,8531,2024-03-20 21:10:35.136116
WJ79T,2024-02-29,88706339,6848,3974,4647,2024-03-20 21:10:35.136116
5ZZ3V,2024-02-29,31962659,5710,9066,1276,2024-03-20 21:10:35.136116
W5ZRI,2024-02-29,81148086,6344,8799,4895,2024-03-20 21:10:35.136116
ZRU3X,2024-02-29,35667144,6330,2138,9752,2024-03-20 21:10:35.136116
RVMN4,2024-02-29,61272678,1964,9957,6399,2024-03-20 21:10:35.136116
2ASHP,2024-02-29,18595074,5080,260,3409,2024-03-20 21:10:35.136116
JGQAA,2024-02-29,72817354,8237,3931,2505,2024-03-20 21:10:35.136116
S4QDP,2024-02-29,27712645,1463,5385,3437,2024-03-20 21:10:35.136116
MPWHK,2024-02-29,85585882,6826,9613,1073,2024-03-20 21:10:35.136116
76TLZ,2024-02-29,66207968,7798,7473,4564,2024-03-20 21:10:35.136116
MBIBR,2024-02-29,29913930,8183,3379,9307,2024-03-20 21:10:35.136116
DTL75,2024-02-29,71723866,8981,1109,3128,2024-03-20 21:10:35.136116
2UQPR,2024-02-29,38350851,1151,9656,7732,2024-03-20 21:10:35.136116
RRYQX,2024-02-29,86068231,9143,3119,3457,2024-03-20 21:10:35.136116
KBMDU,2024-02-29,49115928,8295,6774,3981,2024-03-20 21:10:35.136116
XTRUY,2024-02-29,71252060,4010,8266,9043,2024-03-20 21:10:35.136116
WL5VV,2024-02-29,2285906,5935,9981,200,2024-03-20 21:10:35.136116
ETYIU,2024-02-29,35075509,8598,210,8177,2024-03-20 21:10:35.136116
CXYH0,2024-02-29,90175465,1707,3872,8322,2024-03-20 21:10:35.136116
VQZRK,2024-02-29,6319990,7173,7085,6799,2024-03-20 21:10:35.136116
T3B03,2024-02-29,48688838,7796,4172,8815,2024-03-20 21:10:35.136116
1AY2E,2024-02-29,2002907,6486,1468,5484,2024-03-20 21:10:35.136116
EDGVH,2024-02-29,16993797,3087,3194,2926,2024-03-20 21:10:35.136116
LEGED,2024-02-29,32003088,7718,4098,3636,2024-03-20 21:10:35.136116
PDIPM,2024-02-29,82910679,2012,989,7246,2024-03-20 21:10:35.136116
A7GTY,2024-02-29,33131412,2601,6830,7129,2024-03-20 21:10:35.136116
ZPFGD,2024-02-29,30371695,3295,6267,8870,2024-03-20 21:10:35.136116
8FYMY,2024-02-29,4569899,5284,3812,3135,2024-03-20 21:10:35.136116
S2J3G,2024-02-29,33798716,8986,2985,1972,2024-03-20 21:10:35.136116
IJTWL,2024-02-29,20190032,1555,7363,9689,2024-03-20 21:10:35.136116
QOZML,2024-02-29,77914227,7562,843,1249,2024-03-20 21:10:35.136116
CYYZ1,2024-02-29,43183256,8526,8467,9014,2024-03-20 21:10:35.136116
RNJNB,2024-02-29,90610591,8139,677,7143,2024-03-20 21:10:35.136116
CDZI0,2024-02-29,13787827,4130,133,3631,2024-03-20 21:10:35.136116
K6D8Q,2024-02-29,23635289,3457,3602,1405,2024-03-20 21:10:35.136116
EYSZM,2024-02-29,88341881,3722,3358,769,2024-03-20 21:10:35.136116
REF6Z,2024-02-29,27932052,3144,5574,2879,2024-03-20 21:10:35.136116
VTU2N,2024-02-29,94755138,2098,2222,7457,2024-03-20 21:10:35.136116
BXLEL,2024-02-29,57403235,2829,5978,7207,2024-03-20 21:10:35.136116
T2SUK,2024-02-29,57072934,9649,6510,1368,2024-03-20 21:10:35.136116
LQUNB,2024-02-29,55474733,3893,5812,2383,2024-03-20 21:10:35.136116
BL1TF,2024-02-29,68764282,7041,2417,1136,2024-03-20 21:10:35.136116
YVYJQ,2024-02-29,64212918,5257,9835,4837,2024-03-20 21:10:35.136116
GDXBJ,2024-02-29,92082874,7758,7924,111,2024-03-20 21:10:35.136116
G3UNP,2024-02-29,80670766,3489,3815,533,2024-03-20 21:10:35.136116
I8DTN,2024-02-29,43276393,8491,7853,7210,2024-03-20 21:10:35.136116
JNSUP,2024-02-29,22697044,5250,7008,4577,2024-03-20 21:10:35.136116
IYQXS,2024-02-29,77275874,4867,5028,8897,2024-03-20 21:10:35.136116
YEQKR,2024-02-29,97216662,9208,8183,7079,2024-03-20 21:10:35.136116
WHKGD,2024-02-29,55898229,8486,4303,6088,2024-03-20 21:10:35.136116
6RYVJ,2024-02-29,66479551,1714,9213,2677,2024-03-20 21:10:35.136116
TJLWB,2024-02-29,91889616,5805,1216,523,2024-03-20 21:10:35.136116
HZ8NO,2024-02-29,21381682,1871,1288,5946,2024-03-20 21:10:35.136116
TDAY3,2024-02-29,81612944,2074,7069,6801,2024-03-20 21:10:35.136116
VKLAX,2024-02-29,98976384,7006,7769,940,2024-03-20 21:10:35.136116
VSJIR,2024-02-29,82082006,9938,7177,3156,2024-03-20 21:10:35.136116
JJPGD,2024-02-29,86508727,7215,7976,4901,2024-03-20 21:10:35.136116
2WPOT,2024-02-29,44751070,8216,6410,4870,2024-03-20 21:10:35.136116
MSRJN,2024-02-29,4993987,1588,5407,1798,2024-03-20 21:10:35.136116
YTWPV,2024-02-29,5091703,5857,1614,8527,2024-03-20 21:10:35.136116
LTAZI,2024-02-29,53374872,7454,5964,6392,2024-03-20 21:10:35.136116
A7B7Y,2024-02-29,35148749,9420,4648,5208,2024-03-20 21:10:35.136116
JPJJD,2024-02-29,38183168,6416,7716,8715,2024-03-20 21:10:35.136116
XUORV,2024-02-29,63618640,6483,2434,1824,2024-03-20 21:10:35.136116
JDTA4,2024-02-29,50318483,3444,9935,5225,2024-03-20 21:10:35.136116
OCWCM,2024-02-29,60797145,7172,90,4265,2024-03-20 21:10:35.136116
QN15P,2024-02-29,8791369,1781,3001,1240,2024-03-20 21:10:35.136116
MQ7FH,2024-02-29,36657294,3196,3085,3848,2024-03-20 21:10:35.136116
EWSOY,2024-02-29,38514857,5972,827,4966,2024-03-20 21:10:35.136116
H2MZN,2024-02-29,16177343,8935,8061,1839,2024-03-20 21:10:35.136116
9CXV7,2024-02-29,92287781,8046,9896,562,2024-03-20 21:10:35.136116
QHNFZ,2024-02-29,92125878,5181,4461,3400,2024-03-20 21:10:35.136116
IZCV5,2024-02-29,56223562,7526,2876,4590,2024-03-20 21:10:35.136116
UQ8WF,2024-02-29,23031050,2704,5132,362,2024-03-20 21:10:35.136116
9R1VW,2024-02-29,17334741,6312,9400,5229,2024-03-20 21:10:35.136116
